Sno,Song ID,Song Name,Artist Name,Album Name,Release Date,Accousticness,Dancebility,Song Duration,Energy,Instrumentalness,Key,Liveliness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Popularity,Genre
46,5aGkIyzLVYGuLIHkxpNAFF,Trouble,Ray LaMontagne,Trouble,15-08-2004,0.341,0.325,241546,0.424,0.000267,7,0.23,-12.733,1,0.0438,173.352,3,0.494,59,acoustic
47,2dMkrhsWFVP2rHZmTEKkeh,Wanted Man,Mat Kearney,CRAZYTALK,04-05-2018,0.805,0.514,235106,0.319,0,3,0.211,-8.978,1,0.0941,203.651,4,0.677,59,acoustic
48,4NxUuupOGPquDhy1yFIZK3,The Lotto,Ingrid Michaelson,The Lotto,30-09-2016,0.24,0.687,193695,0.748,0,3,0.373,-4.54,1,0.0785,88.944,4,0.872,59,acoustic
49,2lxBZVbkiCXC1soks2RXwV,Love Like This,Ben Rector,Magic,22-06-2018,0.903,0.637,214240,0.14,0,2,0.107,-11.472,1,0.0407,139.78,4,0.392,60,acoustic
50,7s7KOxwTHHnVBmtphJKWRk,Nights Like These,Pigeon Pit,Shut In,31-05-2015,0.868,0.634,121852,0.328,0,2,0.119,-13.939,1,0.132,91.772,3,0.88,59,acoustic
51,0sKAZF2T0hD3SfEr0U0rqX,"OK, It's Alright with Me",Eric Hutchinson,Sounds Like This,2008,0.335,0.532,151506,0.597,0,0,0.0699,-4.788,1,0.0692,74.388,4,0.666,58,acoustic
52,4BFudy2Zbryi9a1KFad66B,Poison & Wine,The Civil Wars,Barton Hollow,01-02-2011,0.756,0.285,219466,0.186,6.71E-05,1,0.104,-12.729,1,0.0288,153.85,4,0.203,56,acoustic
53,0R7EWhquaAICmyE5MZqt3q,Living My Best Life,Ben Rector,The Joy of Music,11-03-2022,0.083,0.566,215213,0.733,1.55E-06,4,0.362,-5.302,1,0.0699,178.828,4,0.636,59,acoustic
54,6NSlOEEtWlqvEFrjQsry77,World Spins Madly On,The Weepies,Say I Am You,20-12-2005,0.617,0.502,165133,0.311,4.32E-05,1,0.129,-13.421,1,0.0285,107.612,4,0.4,63,acoustic
55,0pegFWSUOTiG0sLVEfxtvA,Heart's Content,Brandi Carlile,Bear Creek,01-06-2012,0.724,0.564,214666,0.209,3.99E-05,3,0.107,-8.922,1,0.0317,109.024,4,0.402,59,acoustic
56,56AecW9Anb0CY6HpgWvcg9,Let It Be Me,Ray LaMontagne,Gossip In The Grain,13-10-2008,0.472,0.614,280226,0.283,0,0,0.114,-8.008,1,0.027,107.673,3,0.331,58,acoustic
57,3D1PuFi2U8lmtdWRZcCz1f,Body Terror Song,AJJ,Good Luck Everybody,17-01-2020,0.871,0.507,157600,0.399,0.000377,9,0.113,-10.917,0,0.0358,115.588,4,0.225,58,acoustic
58,18k8IlS52uxRWObykDUZFG,The Joke,Brandi Carlile,"By The Way, I Forgive You",16-02-2018,0.327,0.236,279373,0.578,0.00015,7,0.206,-5.477,1,0.0404,75.367,4,0.227,59,acoustic
59,3YllcvA3PW1DUwjckCVjIw,I Was Born To Love You,Ray LaMontagne,MONOVISION,26-06-2020,0.84,0.659,251933,0.236,6.32E-05,9,0.206,-12.56,1,0.0304,78.088,4,0.216,60,acoustic
60,5sVyefkGgQeYCgnqr4KslQ,Front Porch,Joy Williams,Front Porch,03-05-2019,0.887,0.567,231813,0.224,0,1,0.109,-10.024,1,0.0299,124.44,4,0.2,64,acoustic
61,2Dz5WpEWA0vhnMmEPYiZ2y,She Is Love,Parachute,Losing Sleep,01-01-2009,0.616,0.629,146066,0.174,0,6,0.118,-9.697,1,0.141,134.295,1,0.305,59,acoustic
62,1MzlQlMCHU4zSyHjVGbMln,Chances,Five For Fighting,Slice,15-06-2010,0.0236,0.401,215200,0.802,0,10,0.224,-5.646,1,0.0291,163.987,4,0.326,55,acoustic
63,5SQkpKQP4woq7R4kG53HAy,Wonderful World,Ben Rector,Wonderful World,23-09-2022,0.462,0.808,165801,0.484,0,5,0.264,-7.495,1,0.0892,149.055,4,0.481,56,acoustic
64,0qJGlogD7AyMLAJfQ42aI2,Heaven Knows,Five For Fighting,Bookmarks,17-09-2013,0.048,0.6,210612,0.845,0,10,0.24,-7.076,1,0.0311,97.631,4,0.392,62,acoustic
65,1Cu8QneXq0Hq1HJqkZDPbN,This Time Tomorrow,Brandi Carlile,In These Silent Days,01-10-2021,0.841,0.606,206267,0.326,0,10,0.139,-10.031,1,0.0294,91.626,4,0.414,60,acoustic
66,7FYMyfcZtTnNbv5pVK0YbD,Fill My Cup,Andrew Ripp,Fill My Cup,25-02-2022,0.0679,0.339,207084,0.639,0,5,0.291,-5.162,1,0.0313,83.132,4,0.565,55,acoustic
67,5fj76kVAnqRKKhAw5d06jj,Kiss Off,Violent Femmes,Violent Femmes,01-01-1983,0.255,0.661,176720,0.662,0,4,0.131,-8.88,0,0.0931,87.119,4,0.825,56,acoustic
68,0fzCtVM9D5UEwiLqcY8Ouq,Hard Sun,Eddie Vedder,Into The Wild (Music For The Motion Picture),18-09-2007,0.0512,0.438,322080,0.827,0.000402,8,0.319,-6.531,1,0.0328,143.377,4,0.645,64,acoustic
69,3XFkhxO5jo2hBOWNzIQ9UB,"So Close - From ""Enchanted""/Soundtrack Version",Various Artists,Enchanted,01-01-2007,0.776,0.323,226840,0.244,1.02E-06,11,0.153,-11.499,1,0.0293,79.948,4,0.19,61,acoustic
70,3tInTDUq8wdIMw5ftohmqJ,Girls Chase Boys,Ingrid Michaelson,Lights Out,15-04-2014,0.03,0.518,221413,0.828,1.33E-05,8,0.0456,-5.725,1,0.04,84.835,4,0.69,56,acoustic
71,0KF5nzdiqZlxVK68MPITst,"30,000 Feet",Ben Rector,Brand New,28-08-2015,0.694,0.555,256933,0.452,0,0,0.0595,-9.636,1,0.0554,179.921,4,0.321,56,acoustic
72,0MWxVd7Hk952psJoL249TT,Jericho,Andrew Ripp,Evergreen,14-05-2021,0.189,0.501,203070,0.716,0,10,0.0606,-4.661,1,0.0411,70.919,4,0.363,54,acoustic
73,1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,Landon Pigg,The Boy Who Never,24-09-2009,0.2,0.489,244986,0.561,4.56E-05,4,0.179,-7.933,1,0.0274,83.457,3,0.238,58,acoustic
74,0ifc4mq2mVNefgQFmtXQpt,Tell The World,Eric Hutchinson,Pure Fiction,08-04-2014,0.0653,0.669,161328,0.854,0,4,0.288,-5.899,1,0.0431,120.035,4,0.706,58,acoustic
75,4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,Episode,15-10-2021,0.279,0.627,244800,0.363,0,8,0.0928,-8.127,1,0.0291,99.905,4,0.301,73,acoustic
76,7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,Andrew Belle,In My Veins (Feat. Erin Mccarley),21-05-2010,0.198,0.548,318908,0.42,4.46E-06,0,0.0899,-7.842,1,0.0277,128.012,4,0.196,64,acoustic
77,72SPsHheqN6J3sI520jT9E,Colors,Amos Lee,Amos Lee,01-01-2005,0.793,0.681,160453,0.168,0.000134,7,0.109,-13.397,1,0.0291,128.615,4,0.29,63,acoustic
78,2C3gh14oarzTtv3aY3HJ0m,Coming Home,Drew Holcomb,Coming Home: A Collection of Songs,14-01-2022,0.146,0.625,146360,0.81,2.72E-05,10,0.135,-5.995,1,0.033,104.066,4,0.741,55,acoustic
79,4nWoYN8aF05BZgeMj7sbnp,What Makes a Man,Ben Rector,What Makes a Man,05-08-2022,0.353,0.558,210617,0.605,0,9,0.177,-6.089,1,0.0303,89.846,4,0.305,55,acoustic
80,3mDvi0k4LuCA7ViLf3Qb3O,Love,Matt White,Best Days,01-01-2007,0.269,0.759,170040,0.684,0,0,0.13,-5.751,1,0.0315,107.948,4,0.759,59,acoustic
81,3bHhUEOTIbezeZ856R0BX5,Society,Eddie Vedder,Into The Wild (Music For The Motion Picture),18-09-2007,0.902,0.561,236306,0.327,0.000469,11,0.111,-10.835,0,0.0327,161.858,4,0.298,68,acoustic
82,72R0X0h8YaxYNpegeoOl0M,Kiss Me Slowly,Parachute,The Way It Was,01-01-2011,0.0758,0.47,235813,0.801,3.53E-05,9,0.218,-6.426,1,0.0352,173.92,4,0.431,60,acoustic
83,0zANeX4R6uWb82gCQAguOD,Habang Buhay,Zack Tabudlo,Habang Buhay,17-09-2021,0.088,0.62,244067,0.668,0,9,0.362,-5.719,1,0.0305,118.013,4,0.183,69,acoustic
84,6UOkF086zUgYXnqFxqUvEI,Steady Love,Ben Rector,The Joy of Music,11-03-2022,0.843,0.678,224333,0.277,3.91E-06,11,0.104,-10.537,1,0.0602,76.935,4,0.238,56,acoustic
85,3ktWkdvtG0CF0T2dEpek0H,Drown,Front Porch Step,Aware,12-11-2013,0.0966,0.57,218368,0.662,0,8,0.161,-3.872,1,0.0363,94.948,4,0.856,55,acoustic
86,5IOmDUnTJwLQAuQnkPRCz5,The Lime Tree,Trevor Hall,Trevor Hall,01-01-2009,0.77,0.59,200040,0.416,0,11,0.109,-8.662,1,0.0374,124.893,4,0.526,56,acoustic
87,1pLbS57mLE8iG4njSQIAtX,Wait Up For Me,Amos Lee,Spirit,19-09-2016,0.678,0.652,225146,0.24,0.00652,10,0.0784,-15.691,1,0.0295,83.02,1,0.257,56,acoustic
88,63bmIgH9sS6sX5Sc7MetGq,Habang Buhay,Zack Tabudlo,Episode,15-10-2021,0.088,0.62,244067,0.668,0,9,0.362,-5.719,1,0.0305,118.013,4,0.183,68,acoustic
89,5MYPzdIWgx3pMLRGlq2fVq,Asan Ka Na Ba,Zack Tabudlo,Asan Ka Na Ba,25-03-2022,0.149,0.676,241132,0.768,0.00147,5,0.345,-5.695,0,0.0294,105.999,4,0.493,72,acoustic
90,5RBx3tM9hmVJAOnSUHIWkn,Rock & Roll,Eric Hutchinson,Sounds Like This,2008,0.0395,0.462,240320,0.767,0,10,0.728,-5.038,1,0.0686,201.064,4,0.901,56,acoustic
91,6R6ux6KaKrhAg2EIB2krdU,Without You,Parachute,Wide Awake,15-01-2016,0.0761,0.564,228933,0.864,0,4,0.182,-5.121,1,0.0341,95.984,4,0.534,61,acoustic
92,6xJOhSm4SvZwzy3uhWz26O,The Enemy,Andrew Belle,Black Bear,20-08-2013,0.078,0.536,286865,0.89,0.0202,1,0.131,-5.222,1,0.0375,121.974,4,0.273,61,acoustic
93,7mVoBnU3mxV5Q6n4DmOv6K,Gone Daddy Gone,Violent Femmes,Violent Femmes,01-01-1983,0.448,0.568,186066,0.948,0.00059,2,0.19,-4.265,0,0.078,79.329,4,0.84,55,acoustic
94,23MG7PAYUQp0esP2dzWHWj,Nothing Left to Lose,Mat Kearney,Nothing Left To Lose,2006,0.103,0.445,263253,0.71,6.14E-05,4,0.169,-6.819,1,0.0275,148.011,4,0.468,54,acoustic
95,1dcNEEtODRVZEevQ20Cgmy,Nangangamba,Zack Tabudlo,Nangangamba,07-08-2020,0.112,0.62,210354,0.547,0,1,0.19,-6.772,1,0.0248,98.032,4,0.208,69,acoustic
96,1GgoypuXSxpTKOxEYiZ3JJ,Drive,Ben Rector,Magic,22-06-2018,0.0131,0.567,197386,0.862,0,2,0.0608,-4.073,1,0.0384,126.066,4,0.61,54,acoustic
97,2HUZVffVPXvqnrml0gXggp,Smokestack Lightnin',Howlin' Wolf,Moanin' In The Moonlight,01-03-1958,0.844,0.661,188400,0.342,0.000128,9,0.26,-16.361,0,0.043,146.118,4,0.588,61,acoustic
98,37pK088xTo1ZpR3y23wsFk,Arms Of A Woman,Amos Lee,Amos Lee,01-01-2005,0.888,0.54,251440,0.0674,0.000382,9,0.109,-13.778,1,0.0368,141.988,3,0.12,59,acoustic
99,1XTp9AoHDoCQMmMWH0ch8M,Devil’s Backbone,The Civil Wars,The Civil Wars,02-08-2013,0.854,0.337,149000,0.341,7.63E-05,4,0.241,-10.123,0,0.0348,114.538,4,0.348,53,acoustic
100,2VN39hYEGp8svTTPtLQ96d,Summer,Phillip LaRue,Summer,07-06-2019,0.134,0.678,232444,0.536,0.275,1,0.117,-10.989,0,0.0406,147.992,4,0.316,53,acoustic
101,0RUXHlYhA057fCOe2vqIqu,Ships In The Night,Mat Kearney,Young Love,01-01-2011,0.111,0.448,255893,0.885,3.65E-06,9,0.0476,-3.755,1,0.0562,178.151,4,0.134,52,acoustic
102,4TWn4YeBaTqDURrYLd6k0a,Raise Hell,Brandi Carlile,Bear Creek,01-06-2012,0.228,0.652,248240,0.773,7.41E-06,11,0.0972,-4.798,0,0.0457,105.946,4,0.435,55,acoustic
103,2DHDuADAHoUW6n0z80RLQF,Pieces,Andrew Belle,Black Bear,20-08-2013,0.0754,0.494,241119,0.652,0.00256,6,0.125,-5.863,0,0.0314,137.018,4,0.298,59,acoustic
104,2eLplOs3tISvZMpdZmirUh,Hey Mama,Mat Kearney,Young Love,01-01-2011,0.274,0.622,177613,0.805,0.000105,5,0.113,-6.618,1,0.202,89.981,4,0.771,52,acoustic
105,65VhbQdqvozUntjnlFkFbZ,You Are My Sunshine,Kina Grannis,You Are My Sunshine,11-05-2018,0.91,0.664,123609,0.0755,0,10,0.164,-19.836,1,0.0389,80.004,1,0.575,60,acoustic
106,61QW3AcU1jm5ttPOn8eZhn,Add It Up,Violent Femmes,Violent Femmes,01-01-1983,0.273,0.41,284333,0.763,1.29E-05,4,0.0553,-7.904,1,0.337,171.956,4,0.649,55,acoustic
107,7AKxbxzkxm2ERWrd1ggniO,Asleep Among Endives,Ichiko Aoba,Asleep Among Endives,03-02-2021,0.983,0.451,306243,0.0318,0.0532,0,0.0989,-19.933,0,0.0421,123.985,4,0.148,58,acoustic
108,0VDhK4DIjbsAHo1GDe9VfM,I Like to Be With Me When I'm With You,Drew Holcomb & The Neighbors,A Million Miles Away,11-08-2009,0.682,0.595,230773,0.384,2.37E-06,2,0.0796,-12.114,1,0.0305,90.726,4,0.691,54,acoustic
109,6Sf1IjXhbfTIYOHhaj5DG0,Worry No More,Amos Lee,Worry No More,11-08-2021,0.568,0.272,221066,0.435,0.00128,9,0.0879,-10.096,0,0.0385,78.721,4,0.27,57,acoustic
110,6GZEEoTST2iZcU52LfVDHZ,Running for Cover,Ivan & Alyosha,All The Times We Had,26-02-2013,0.00691,0.295,236280,0.717,1.05E-06,1,0.101,-7.537,1,0.0386,116.95,4,0.228,52,acoustic
111,5ZUObJNpVt2l9GogUSfALc,The Trouble with Wanting,Joy Williams,Front Porch,03-05-2019,0.912,0.396,235586,0.198,0,2,0.0972,-9.096,1,0.031,138.624,3,0.19,60,acoustic
112,3GSYWQNnSdovwC2H8HpziA,Almost Lover,A Fine Frenzy,One Cell In The Sea,2007,0.947,0.549,268800,0.24,0,0,0.106,-7.778,1,0.0338,119.58,4,0.167,51,acoustic
113,3SpsS5iuK5BDbpwGnILuth,I'm Yours,Various Artists,Timeless Ballads,21-10-2022,0.571,0.698,242040,0.45,0,11,0.113,-8.784,1,0.0442,150.999,4,0.68,0,acoustic
114,0dzKBptH2P5j5a0MifBMwM,If It Kills Me,Various Artists,Feeling Good - Adult Pop Favorites,14-10-2022,0.0444,0.633,273653,0.429,0,4,0.132,-6.784,0,0.0381,143.793,4,0.52,0,acoustic
115,3EQV1ZHtHvq9OnVRYIdbg3,Winter Wonderland,Various Artists,Merry Christmas,14-10-2022,0.788,0.62,131760,0.309,0,5,0.146,-9.209,1,0.0495,145.363,4,0.664,0,acoustic
116,0BUuuEvNa5T4lMaewyiudB,93 Million Miles,Various Artists,Coffee Moment,21-10-2022,0.477,0.572,216386,0.454,1.37E-05,3,0.0974,-10.286,1,0.0258,140.182,4,0.515,1,acoustic
117,0mfwvYs8wmG276jMfCXICT,Winter Wonderland,Various Artists,Christmas Music,21-10-2022,0.788,0.62,131760,0.309,0,5,0.146,-9.209,1,0.0495,145.363,4,0.664,0,acoustic
118,3Hn3LfhrQOaKihdCibJsTs,Unlonely,Various Artists,Human - Best Adult Pop Tunes,14-10-2022,0.381,0.796,231266,0.667,0,5,0.221,-4.831,0,0.0392,97.988,4,0.754,0,acoustic
119,4Fl07whZv6iX3LK9FDy1gT,Worry No More,Amos Lee,Dreamland,11-02-2022,0.556,0.531,221013,0.414,0.000572,9,0.0913,-9.904,0,0.0293,80.021,4,0.305,54,acoustic
120,5EndcDV7pcbLO4jE2GBZwC,Burn The Rain,Kurt Cobain,Montage Of Heck: The Home Recordings (Deluxe Soundtrack),13-11-2015,0.879,0.504,76453,0.415,0.494,8,0.35,-19.308,0,0.121,114.263,4,0.626,55,acoustic
121,3V0NxWbbUTa3BUAnchm11i,bouquet,Ichiko Aoba,amuletum bouquet,10-01-2020,0.983,0.298,256361,0.044,0.124,5,0.101,-20.176,1,0.035,85.708,4,0.115,55,acoustic
122,0B5KeB25moPkcQUnbDvj3t,100 Years,Five For Fighting,The Battle For Everything,03-02-2004,0.544,0.643,244600,0.569,2.17E-05,7,0.178,-7.459,1,0.0276,120.507,4,0.275,56,acoustic
123,3NCg46FWgnANZc9HQHQOQR,Forever And Always,Parachute,The Way It Was,01-01-2011,0.014,0.657,248960,0.716,0,2,0.0483,-5.675,1,0.0301,93.924,4,0.435,57,acoustic
