Accousticness,Album Name,Artist Name,Dancebility,Energy,Genre,Instrumentalness,Key,Liveliness,Loudness,Mode,Popularity,Release Date,Sno,Song Duration,Song ID,Song Name,Speechiness,Tempo,Time Signature,Valence,Happy_score
0.00657,You're My Angel,Styles & Breeze,0.493,0.929,happy,0.00226,8,0.0535,-6.767,1,59,05-11-2021,9010,170326,1mCx32u41MITwQIlYTeZ6x,You're My Angel - Hypnose Remix Edit,0.102,154.984,4,0.266,0.9585895069959858
0.00304,Feel the Melody (feat. Sara),S3RL,0.46,0.996,happy,0.0116,8,0.335,-1.172,0,52,20-09-2012,9011,232631,61qXzQHMSwk3PStleYDJ2v,Feel the Melody (feat. Sara),0.327,175.123,4,0.36,0.9947688222931328
0.0431,The Qontinent 2017,Various Artists,0.478,0.878,happy,1.93e-05,1,0.0719,-3.431,0,57,11-08-2017,9012,222400,3uJnYKR844kT7MLpm0cquz,Us Against The World (Da Tweekaz Remix),0.0403,149.671,4,0.289,0.9139465180170434
0.0693,R4v3 B0y (feat. Krystal),S3RL,0.63,0.891,happy,0.0146,6,0.0654,-3.278,0,48,04-03-2015,9013,179665,1hle6BL2dCurJdd5Xoywlb,R4v3 B0y (feat. Krystal),0.0738,174.973,4,0.505,0.8335024691260218
0.00949,You Are Mine,S3RL,0.462,0.967,happy,1.34e-06,6,0.335,-0.965,0,50,05-02-2020,9014,194734,4jihqV0COtCtBpJOuTRTV4,You Are Mine,0.154,174.893,4,0.265,0.9934097019103154
0.305,Paul Is Dead,Scooter,0.496,0.868,happy,3.9e-05,6,0.16,-4.577,0,42,27-11-2020,9015,175000,1QjkA22lyqF46JD1Mh048U,Paul Is Dead,0.0984,169.861,4,0.237,0.7404351229273215
0.000291,Virtual Gaming (Gammer Remix),Naeleck,0.496,0.98,happy,0.318,11,0.353,-3.434,0,55,26-03-2021,9016,158158,5BeV0OiC4VQ3TG7ZlNHHsz,Virtual Gaming - Gammer Remix,0.0474,150.008,4,0.391,0.9988788499193019
0.00615,Switch,Darren Styles,0.607,0.823,happy,0.641,6,0.423,-3.984,0,56,08-05-2018,9017,220500,059sONalAfYqzIICi4Ti6R,Switch,0.0431,160.031,4,0.25,0.9986189867636904
0.0113,Dreams,2 Brothers On The 4th Floor,0.702,0.953,happy,0.00193,7,0.266,-6.347,0,65,01-01-1994,9018,264000,4Fqm5rqB0WMx0hPOwgRjFr,Dreams (Will Come Alive),0.0473,134.027,4,0.507,0.8893096449443924
0.000597,Party Don't Stop,Darren Styles,0.555,0.954,happy,0.276,5,0.0292,-1.064,1,53,26-07-2017,9019,197647,2tld2PLZXQvA7Toq38txGT,Party Don't Stop,0.0849,169.956,4,0.4,0.9953125794648418
0.0272,Future Shadows - Part One,Various Artists,0.583,0.983,happy,0.0666,1,0.344,-3.423,1,0,21-10-2022,9020,240000,1uur8sczLnHBCPoe9VTyfX,Scary Movie - Kinn's Hard Mix,0.269,174.985,4,0.583,0.9851927995874605
0.00741,Weekend / Into Overdrive / Pretty Rave Girl,S3RL,0.428,0.989,happy,0.0457,4,0.168,-5.037,0,41,07-12-2008,9021,363428,63EoAM5tzp83qV0FvIad4m,Pretty Rave Girl - Original Mix,0.133,175.043,4,0.319,0.9947502215975889
0.0109,Doki Doki ドキドキ,S3RL,0.645,0.979,happy,0.0302,2,0.0547,-2.089,1,46,27-07-2022,9022,181032,7s3CCbaHw11Xi6PTrdx8qK,Doki Doki ドキドキ,0.272,175.006,4,0.185,0.9746853826992244
0.00259,Dopamine,S3RL,0.47,0.995,happy,0.0547,1,0.369,-0.629,1,46,03-06-2020,9023,178000,6rwxcZoU91W5vyqQsjBHD6,Dopamine,0.14,174.951,4,0.123,0.9979029754983191
0.00664,THE DROP,Gammer,0.565,0.988,happy,0.0508,9,0.0935,-1.448,1,42,22-11-2017,9024,232158,2sEeRKHVONJGERCwKCW2ix,THE DROP,0.145,150.05,4,0.0316,0.9892133718666942
0.0227,Hard,Dj Gizmo,0.705,0.599,happy,0.732,9,0.39,-9.766,1,37,23-07-2022,9025,66696,0p47rZQHjHGchBCZfkDQoy,Hard,0.0688,87.788,4,0.601,0.8218555277949289
0.00103,The Stadium Techno Experience (20 Years of Hardcore Expanded Editon),Scooter,0.519,0.938,happy,0.103,6,0.472,-6.244,0,62,07-06-2013,9026,234055,0OpsdOxCH5frtDmBNRQDEF,The Logical Song - Radio Edit [Remastered],0.0377,144.006,4,0.501,0.9877015765346912
0.000557,Little Kandi Raver 2012,S3RL,0.568,0.986,happy,3e-05,1,0.3,-2.016,1,40,29-08-2012,9027,255955,1vNdvKfEtoAiaDVPnY38Dm,Little Kandi Raver 2012,0.0684,175.058,4,0.494,0.9866256979378811
0.00401,Reactivate,Darren Styles,0.635,0.958,happy,0.13,6,0.274,-2.757,0,49,13-10-2022,9028,183750,4EnSchPRIh9xWOb2SIrRQU,Reactivate,0.201,160.01,4,0.203,0.9885053248429447
0.00492,Forever (F. Noize & Yoshiko Remix),S3RL,0.596,0.991,happy,0.12,10,0.244,0.298,0,47,27-09-2022,9029,184800,1OFBGsGp43xUamMZwu55yc,Forever - F. Noize & Yoshiko Remix,0.0635,99.972,4,0.458,0.9804736025653182
0.0181,NGMF,Gammer,0.75,0.883,happy,0.0643,4,0.329,-5.329,0,43,27-08-2021,9030,162450,2iOz9TpTJgR3ZBIQ0Pas2g,NGMF,0.262,150.051,4,0.252,0.864188552493208
0.46,Evilution,Evil Activities,0.475,0.959,happy,0.0927,11,0.0862,-5.339,0,51,19-05-2008,9031,320053,2I0KaPpWmAcFQyMmk5P2Cz,Raw To The Floor,0.198,165.039,4,0.102,0.8896446465288766
0.0691,Invincible,Endymion,0.657,0.997,happy,0.0,8,0.222,-0.591,1,55,20-06-2018,9032,140250,3txHkfFFEeMRblGlfe1kdm,Pussy Motherfuckerz - D-Fence Remix,0.199,100.036,4,0.169,0.9351003702230625
0.00139,Encore - Live and Direct,Scooter,0.492,0.901,happy,0.0486,2,0.186,-7.03,1,60,13-05-2002,9033,208933,2zhGnnDewN4kBsVzbqjBtX,Nessaja,0.045,143.014,4,0.104,0.9717719043448301
0.0353,Candy (feat. Sara),S3RL,0.618,0.944,happy,0.0216,1,0.362,-2.212,1,42,02-09-2015,9034,211413,1cR9LGmGkWEMslj4gjJanZ,Candy (feat. Sara),0.185,175.058,4,0.867,0.9401785924335311
0.00657,Evil's Greatest Activities (Mixed Version),Evil Activities,0.247,0.834,happy,0.00088,0,0.38,-6.64,1,57,18-02-2013,9035,206160,6ASkheRUcaSa2TiP8fNPXB,Nobody Said It Was Easy [Mix Cut] - Original Mix,0.0515,172.792,4,0.058,0.9900304556739664
0.0137,Get It Crackin (Sefa Remix),Re-Style,0.472,0.929,happy,0.0262,1,0.166,-4.439,1,57,22-05-2018,9036,188400,3HjmdK69N8hal2kZLIx6GS,Get It Crackin - Sefa Remix,0.0412,100.035,1,0.0663,0.9642889280254473
0.00112,24 Carat Gold,Scooter,0.523,0.888,happy,0.0692,6,0.46,-8.715,0,59,04-11-2002,9037,234933,7cR6SJQLubZTtIrAgteiec,The Logical Song,0.0359,144.021,4,0.534,0.9611626933018239
0.00283,Notice Me,S3RL,0.435,0.956,happy,5.74e-05,5,0.0893,-2.732,0,41,28-04-2022,9038,199546,3ZvEl3WmYzo9oYViKOzVeS,Notice Me,0.292,175.153,4,0.3,0.9853918223788701
0.0453,Click Bait (feat. Gl!Tch),S3RL,0.493,0.949,happy,0.0,7,0.134,-4.527,0,41,03-08-2016,9039,198857,2bPuAWKxIHu7aqatN5BlTl,Click Bait (feat. Gl!Tch),0.0956,174.94,4,0.68,0.9570341268484677
0.0531,Press Play Walk Away - Single,S3RL,0.497,0.999,happy,0.000826,0,0.105,-1.373,1,39,10-05-2012,9040,235963,7ieWVq8MZQPf8uvt9JBvf9,Press Play Walk Away,0.144,175.041,3,0.423,0.9854296130200406
0.00399,INSANE,Anime,0.433,0.96,happy,0.0352,4,0.075,-1.991,0,49,10-05-2018,9041,201724,47RdxOp686m51Z8QWf5DHp,In The End,0.113,174.012,4,0.078,0.9936184610930443
0.0171,The First Dose,Rebelion,0.456,0.956,happy,0.0,4,0.358,-4.297,1,51,21-12-2020,9042,88101,3sAMf1LEWcYkFqm6z9VOFz,Die Gladiator - Rebelion Remix,0.41,157.952,4,0.271,0.985879707519905
0.000602,Friendzoned (feat. Mixie Moon & MC Offside),S3RL,0.546,0.99,happy,0.0277,7,0.327,-1.706,1,42,20-11-2013,9043,248167,0O80ZB3Rsni14LhvAPUmkv,Friendzoned (feat. Mixie Moon & MC Offside),0.0598,175.043,4,0.319,0.9937231209228685
0.0357,Demons (Restrained Remix),Paul Elstak,0.453,0.96,happy,0.0,6,0.103,-2.07,0,49,14-01-2022,9044,240000,4cN1uno0iSzRsOOSE4NvF9,Demons - Restrained Remix,0.105,175.003,4,0.0816,0.9897302606476912
0.032,Crash & Burn,Tweekacore,0.502,0.891,happy,0.00568,4,0.118,-4.732,0,50,20-11-2018,9045,228800,4HaMXBKZa59l6MnyhLK6Bw,Crash & Burn,0.0455,160.014,4,0.225,0.944676005094461
0.000766,All That I Need (feat. Kayliana & MC Riddle),S3RL,0.581,0.949,happy,0.0,9,0.894,-3.717,1,44,07-06-2017,9046,186480,3jS6gkxBHMO0J3aZiFTsjv,All That I Need (feat. Kayliana & MC Riddle),0.159,174.99,4,0.73,0.9893726850024144
0.0231,Genre Police (feat. Lexi),S3RL,0.595,0.957,happy,8.3e-05,1,0.142,-0.884,1,42,23-06-2015,9047,196499,75HNAIaFJmDUUU6LiNSvnh,Genre Police (feat. Lexi),0.0858,160.022,3,0.715,0.9340090829705503
0.33,Paul Is Dead,Scooter,0.504,0.891,happy,8.65e-06,6,0.191,-4.175,0,56,27-11-2020,9048,174291,09KVvb0849JV9TRFpTiY0l,Paul Is Dead,0.126,169.886,4,0.295,0.7605684234935162
0.0145,Skydivin',Darren Styles,0.489,0.985,happy,0.525,7,0.146,-4.435,1,47,16-06-2008,9049,314653,47F2hfDB2JbfapBJjIzIP3,You're My Angel,0.0456,144.011,4,0.0489,0.9995418284050417
0.000194,I Will Pick You up (feat. Tamika),S3RL,0.459,0.995,happy,0.00401,6,0.248,-1.874,1,41,18-09-2013,9050,222171,51qs2DBzG2ANnZgkgXrVzO,I Will Pick You up (feat. Tamika),0.228,174.967,4,0.287,0.9943996189552792
0.0123,I'll See You Again (feat. Chi Chi),S3RL,0.479,0.96,happy,9.93e-05,8,0.194,-1.545,1,41,26-02-2014,9051,224758,1dg7CYPHrqB6BE0vNk4uMM,I'll See You Again (feat. Chi Chi),0.0459,174.954,4,0.38,0.9872149760826293
0.171,Dreams,2 Brothers On The 4th Floor,0.705,0.866,happy,0.000162,8,0.645,-5.036,0,57,01-01-1994,9052,351026,4cqiLvFRDuV8ClE61eMmZx,Never Alone,0.0563,127.986,4,0.816,0.5527725493265209
0.00104,Harder Tunes Forever - 100% the Best in Hardstyle and Hardcore,Various Artists,0.653,0.967,happy,0.0149,9,0.271,-2.706,1,0,14-10-2022,9053,173225,4QSIDE8cLiFuNlyguhei8p,Never Fake,0.193,155.045,4,0.364,0.9652101824739642
0.000592,No Time To Chill,Scooter,0.53,0.994,happy,0.00708,2,0.364,-9.629,0,60,20-07-1998,9054,227000,31JhTEAWmmhZIZTm40pQZr,How Much Is The Fish?,0.0615,139.992,4,0.681,0.9753242829740002
0.00032,Bass Slut,S3RL,0.33,0.97,happy,0.00437,10,0.546,-7.316,0,38,18-01-2013,9055,260571,6XQhcuKiotvDsk8rBlrySQ,Bass Slut - X-FIR3 Remix,0.101,175.142,4,0.309,0.9977019695123625
0.0044,Public Service Announcement,S3RL,0.326,0.907,happy,0.0415,7,0.224,-3.377,1,40,01-10-2014,9056,205019,5jfuP1s5gLc0U0mKzMRFmw,Public Service Announcement,0.0773,160.044,4,0.748,0.9809083667042785
0.0537,Quiver,Darren Styles,0.609,0.951,happy,0.000661,9,0.0837,-3.171,0,49,27-09-2019,9057,234000,6gfdc0sgLQvolZteBTRCDY,Quiver,0.0645,159.964,4,0.194,0.95008522666368
0.00728,Cherry Pop (feat. Gl!Tch),S3RL,0.654,0.897,happy,0.000177,6,0.767,-3.933,0,39,03-05-2017,9058,192643,4WfXGD1jYjWqmdJlEbP3wD,Cherry Pop (feat. Gl!Tch),0.235,174.926,4,0.752,0.9482799467267817
0.000844,Kamehameha,S3RL,0.467,0.99,happy,0.0216,8,0.277,-1.876,1,35,28-12-2011,9059,254480,6IZgKLe0V3g8bh7dMA5Rj5,Kamehameha,0.286,175.002,4,0.231,0.9949926309305195
0.000118,Feel the Melody,S3RL,0.498,0.985,happy,0.529,8,0.254,-3.67,0,40,05-10-2022,9060,416194,0nwguQxcQITOnTonBDXSq6,Feel the Melody - ExaMelodica Remix,0.179,180.002,4,0.0393,0.9997552716651491
0.000162,DJ Whore (feat. Tamika),S3RL,0.425,0.994,happy,0.167,7,0.0864,-0.797,1,37,30-10-2013,9061,233735,5fI4M8OTMEgqeoP0vV1TUS,DJ Whore (feat. Tamika),0.11,175.065,4,0.406,0.9977318353086778
0.0682,Die Alone,Anime,0.339,0.95,happy,3.81e-06,6,0.103,-2.805,0,46,21-01-2021,9062,233587,5TnngBGEvrYJJtOG5cv1V8,Die Alone,0.448,185.091,4,0.0951,0.990606513686115
0.0999,Catchit,S3RL,0.573,0.874,happy,0.0,11,0.14,-1.473,0,40,03-06-2015,9063,211200,6R30BO0qA3NSIg6yzsqao8,Catchit,0.0756,175.087,4,0.531,0.8335903244398538
0.000352,300 (The Remixes),Angerfist,0.299,0.982,happy,0.293,9,0.118,-2.197,0,58,27-01-2020,9064,155076,5R234KEG9dj0MhKE5grfZV,Lyra - Broken Minds Remix,0.135,195.14,4,0.0398,0.9996322216602955
0.000407,20 Years of Hardcore (Remastered),Scooter,0.533,0.995,happy,0.143,8,0.938,-3.292,1,55,11-10-2013,9065,222105,7LHrwoTDiASsfXm58OGirc,Maria (I Like It Loud),0.11,142.959,4,0.468,0.9984643426764743
0.000691,Random Encounter,S3RL,0.465,0.998,happy,0.785,5,0.386,-1.742,0,40,07-09-2022,9066,241029,5N3N8fH0sgQWkNcmAcHrI2,Random Encounter,0.326,100.051,4,0.038,0.9998424263598606
0.000982,Replay The Night (feat. Nytrix),Gammer,0.583,0.991,happy,0.00256,3,0.276,-0.311,0,39,24-09-2021,9067,231700,0NNHOCC22cpLt3fDF6t88l,Replay The Night (feat. Nytrix),0.197,149.961,4,0.249,0.9855146482019995
0.0472,Nobody Said It Was Easy (Sefa Remix),Evil Activities,0.447,0.955,happy,0.00323,3,0.151,-5.15,1,57,31-03-2022,9068,269895,5qeMz1IZRziSatqOG3ZHz6,Nobody Said It Was Easy - Sefa Remix,0.0582,95.008,4,0.0762,0.9638918687427073
0.0278,Harder Tunes Forever - 100% the Best in Hardstyle and Hardcore,Various Artists,0.543,0.886,happy,1e-05,9,0.148,-3.689,0,0,14-10-2022,9069,222400,7tNzd03v3T5aU7P1UpeuYF,Slave to the Rave,0.136,150.081,4,0.175,0.9218986588324644
0.022,Burning Up,Darren Styles,0.631,0.934,happy,0.409,11,0.065,-2.912,0,39,13-09-2018,9070,195000,5pv6HjEYIghenyE7K2ghyv,Burning Up,0.273,160.053,4,0.316,0.9948264031563192
0.00209,Mtc Saga,S3RL,0.503,0.966,happy,0.000168,7,0.233,-2.364,1,39,31-01-2018,9071,244132,4w6wCzn1wpaU5yVCxeOikM,Mtc Saga,0.393,175.133,4,0.478,0.9806977813625939
0.0146,God Save the Rave,Scooter,0.425,0.926,happy,1.62e-05,8,0.161,-3.269,0,58,31-05-2019,9072,192000,6g1VQsGGteeFbJm4IEn3N4,God Save the Rave,0.114,150.038,4,0.376,0.9722686785043859
0.0128,Without Me,Technikore,0.535,0.856,happy,0.248,6,0.169,-4.026,1,45,12-07-2019,9073,262181,42V9E2vwm97PGfkL7rhpTk,Without Me - Radio Edit,0.0443,165.033,4,0.327,0.982980673608526
0.00161,Skydivin',Darren Styles,0.533,0.979,happy,0.00235,8,0.191,-5.209,1,49,16-06-2008,9074,202266,5zgoEnmbgkhwt7SRdwSGvk,You're Shining,0.0446,144.018,4,0.374,0.9773282875741829
0.12,Arder,Dj Promo,0.81,0.553,happy,0.76,8,0.435,-10.705,0,29,13-02-2022,9075,90158,35i6b4n58J2WS7fgu4jlpK,Arder,0.152,117.32,4,0.789,0.5439072629551265
0.0831,Home,Darren Styles,0.583,0.917,happy,0.00275,0,0.0564,-3.494,1,42,19-11-2018,9076,254117,57nbwxwiq9szIHvdnaikKo,Home,0.195,169.905,4,0.403,0.8854502087272105
0.000109,Bass Slut / It Went / Crazy Ass Bitch,S3RL,0.522,0.965,happy,0.123,11,0.115,-6.326,1,36,15-02-2011,9077,322285,4dsKbk6Nfu08T5msOQ1ziT,It Went - Original Mix,0.0616,175.004,4,0.052,0.9947567489385309
0.585,Wanna Play? (270 BPM Terror Edit),The Prophet,0.679,0.984,happy,0.0,10,0.518,-1.281,1,51,31-07-2020,9078,108125,2Ur9ianheHtBR4wIWqxEBK,Wanna Play? - 270 BPM Terror Edit,0.316,135.066,4,0.394,0.4973315392998938
0.000185,Fan Service,S3RL,0.458,0.917,happy,0.344,9,0.492,-1.707,1,41,31-07-2019,9079,174953,0gvHiahNvDRgpOxLaP7UzV,Fan Service,0.299,175.041,4,0.611,0.9982783256102444
0.452,Esparta,DJ Sim,0.591,0.448,happy,0.939,1,0.12,-13.663,0,30,15-12-2021,9080,72306,7CPvrDMxWhZ6OPaRjn1pYm,Esparta,0.487,169.948,4,0.616,0.323597196270796
0.00278,Evilution,Evil Activities,0.397,0.913,happy,0.127,1,0.0814,-7.173,1,38,19-05-2008,9081,339106,3l9AFfKMRH3aSL6Sx0aGNs,Evilution,0.474,160.021,4,0.0567,0.9889260927437461
0.0122,Waifu,S3RL,0.51,0.82,happy,0.0,3,0.101,-1.91,1,39,06-11-2019,9082,203125,0HtrsxIm49It93bMHTbeg3,Waifu,0.0838,175.112,4,0.443,0.8507548256087372
0.516,Falta,Dj Promo,0.685,0.572,happy,0.816,6,0.24,-8.112,1,29,04-07-2022,9083,69362,5PDUqXNuQQhhRwwA85EjE1,Falta,0.0993,142.366,4,0.586,0.40604764545717287
0.00307,Scary Movie,S3RL,0.49,0.995,happy,0.0297,5,0.951,-2.562,1,35,03-10-2018,9084,170414,3rm5sx2oyG6dzcHVJZAN5j,Scary Movie,0.452,174.877,4,0.238,0.9983845731749608
0.0215,THE DROP (The Remixes Pt. 2),Gammer,0.624,0.954,happy,0.606,6,0.122,-3.678,0,39,18-07-2018,9085,216000,6rKJ86eYimcNRXV8y0iZZ8,THE DROP - Darren Styles Remix,0.101,160.084,4,0.304,0.9991998899640706
0.0803,Tell Me What You Want,S3RL,0.648,0.986,happy,0.0619,6,0.127,-3.645,0,40,03-09-2014,9086,219589,31a16KCjkUZCePy4MfJkdC,Tell Me What You Want,0.0935,160.006,4,0.906,0.9175498691562946
0.0184,Fiyaaah!,The Prophet,0.614,0.864,happy,0.00016,7,0.292,-2.242,1,49,07-03-2019,9087,234021,1gWAtvmMbhH6WPLes1swNh,Fiyaaah!,0.0572,149.985,4,0.392,0.8694194058183096
0.0152,Dopamine (Roski Veair Remix),S3RL,0.659,0.942,happy,0.0083,5,0.348,-2.294,0,40,21-09-2022,9088,250045,7JugxAkkHITImcgQdKmWAr,Dopamine - Roski Veair Remix,0.105,128.017,3,0.336,0.9367058232207559
0.00428,Us Against The World (Protostar Remix),Darren Styles,0.488,0.95,happy,0.000281,1,0.0704,-3.229,0,39,22-12-2020,9089,296551,43Rv6fq5gVbzMR3mvfofEg,Us Against The World - Protostar Remix,0.0972,174.023,4,0.0809,0.9862726952024342
0.0389,I Want You,DJ Isaac,0.634,0.895,happy,0.264,1,0.18,-4.445,1,48,24-09-2019,9090,190400,67l1rBGrnkh7642qmpWE3K,I Want You,0.216,150.057,4,0.0935,0.9821477041105373
0.0111,Ravers Mashup,S3RL,0.505,0.998,happy,0.000382,1,0.375,-0.795,1,36,03-01-2019,9091,249507,6OEqDDkGhhGAf4f74N6N9B,Ravers Mashup,0.397,174.955,4,0.334,0.9931243797192347
0.00155,Old Skool Masters - S3RL,S3RL,0.647,0.951,happy,0.717,6,0.537,-3.543,1,38,2007,9092,285257,3FRIOB6cFdB6M1fREjXUAG,Dealer,0.181,174.973,4,0.715,0.9996924576774667
0.0042,THE DROP (The Remixes Pt. 1),Gammer,0.558,0.964,happy,0.0334,4,0.131,-3.277,1,32,03-07-2018,9093,158400,6WwmESjbOvMwshFVDIqlD4,THE DROP - Wooli Remix,0.164,150.06,4,0.229,0.9774594027299205
0.0146,God Save the Rave,Scooter,0.425,0.926,happy,1.62e-05,8,0.161,-3.269,0,50,16-04-2021,9094,192000,2Ec88bogf5eEfappNAktH5,God Save the Rave,0.114,150.038,4,0.376,0.9722686785043859
0.0156,Dune,Dune,0.578,0.631,happy,0.488,4,0.0578,-11.93,0,57,01-08-1995,9095,213240,0yx5eBLk3AGOH5EruCqLDx,Hardcore Vibes,0.0415,163.883,4,0.484,0.8059711107624354
0.099,Let,Dj Gizmo,0.756,0.412,happy,0.000486,1,0.341,-11.219,1,30,23-07-2022,9096,134825,3yeiEefudVvaXyx7KihpeB,Let,0.111,127.475,4,0.489,0.0015300586332226418
0.0123,Step Back,Gammer,0.617,0.982,happy,0.101,9,0.734,-2.017,1,34,29-07-2022,9097,198400,0oHEiGSJjfLROTq55TEoFl,Step Back,0.0942,150.023,4,0.432,0.995196968343311
0.00652,Better Together,Gammer,0.546,0.949,happy,0.00256,4,0.192,-4.353,0,35,07-10-2022,9098,161333,5ENZmalv3TTuZyZpihKyg1,Underneath (feat. Linney),0.0534,134.956,4,0.246,0.9651300590342946
0.119,Sube,Dj Promo,0.726,0.573,happy,0.78,4,0.0679,-12.809,0,30,2020,9099,119175,56BBkFOvo0iS2sHoNVHWoD,Sube,0.0468,104.958,4,0.398,0.620514412791308
0.0506,I Kiss Your Lips,Tokyo Ghetto Pussy,0.622,0.723,happy,0.00486,7,0.0961,-7.471,1,40,1995,9100,231666,0y7Xf4d6snUqmMFrCTD3ql,I Kiss Your Lips - Radio Edit,0.0428,165.0,4,0.38,0.31161212710130903
0.087,Oscuro,Dj Promo,0.706,0.537,happy,0.979,4,0.124,-13.011,1,27,13-02-2022,9101,75492,0Q6D4jgYQBeVaQb5zudWBH,Oscuro,0.0295,100.155,4,0.271,0.8671468994243818
0.00112,20 Years of Hardcore (Remastered),Scooter,0.527,0.933,happy,0.0362,6,0.425,-6.277,0,47,11-10-2013,9102,234116,6ACG1I3qXRpnkIKLVzy4Ww,The Logical Song,0.0382,144.043,4,0.493,0.9754841130213469
0.481,Plus,DJ Sim,0.818,0.905,happy,0.0468,7,0.115,-3.219,1,28,15-12-2021,9103,75279,0AGg74KsGe8TP2VErUFRWU,Skip Vote,0.206,160.085,4,0.842,0.10968296373839959
0.0107,I Feel Alive,S3RL,0.507,0.969,happy,0.426,8,0.0903,-3.321,0,38,15-06-2022,9104,216000,4NsHzdH6cv804yQpphQ1KD,I Feel Alive,0.102,174.951,4,0.553,0.998743793942902
0.0002,Dream Girl (Noc.V Remix 2022 VIP),S3RL,0.55,0.918,happy,0.308,0,0.0821,-3.27,1,35,23-07-2022,9105,236575,3B4Ta2sLBcfEsDvzlNxYj3,Dream Girl - Noc.V Remix 2022 VIP,0.0827,175.019,4,0.349,0.9949583609859649
0.000697,MEAN STREETS,Dj Mad Dog,0.429,0.959,happy,0.143,6,0.229,-1.767,0,46,26-03-2021,9106,226833,2E3d0AL4hG2HzdHVcmeEEg,MEAN STREETS,0.463,180.021,4,0.0606,0.9975035400774351
0.00588,I Follow Rivers (Deep Sea Baby),Darren Styles,0.513,0.839,happy,0.0,10,0.115,-3.763,0,52,15-07-2022,9107,187500,5LjjFLhe4QChEtBCnZBn1O,I Follow Rivers (Deep Sea Baby),0.0672,160.021,4,0.611,0.8177485662335275
0.00188,Bitches,DJ Isaac,0.644,0.97,happy,0.032,9,0.0796,-5.184,1,43,14-06-2010,9108,313941,5DmksdbpypZd709H95ES1c,Bitches,0.0743,74.987,4,0.777,0.7667608574008162
0.00854,The Feeling,Gammer,0.512,0.992,happy,0.346,0,0.325,-3.347,0,37,20-11-2020,9109,158400,4t9aVhB3mYRqk2H3BgHRS4,The Feeling,0.111,150.012,4,0.219,0.9991829101944503
0.0157,Not Alone (Tatsunoshin Remix),S3RL,0.395,0.952,happy,7.19e-05,1,0.156,-2.249,0,38,24-08-2022,9110,224470,0dXuhlnCkbkoJGO8ugWbCI,Not Alone - Tatsunoshin Remix,0.0698,170.08,4,0.315,0.9899587646629892
0.000907,Remastered,S3RL,0.518,0.994,happy,0.0217,8,0.0849,-4.325,1,34,22-09-2016,9111,309942,4KW3oEsTTTO1nBbkv9JEq8,Rainbow Girl - Original Mix,0.0514,175.006,4,0.384,0.9885956374403164
0.105,Won't Let You Go,S3RL,0.498,0.987,happy,0.0,1,0.18,-1.466,1,36,03-02-2021,9112,189765,0NVu3X3HgW8IwNWLbbYCnn,Won't Let You Go,0.289,175.033,4,0.37,0.9789318537712982
