,Sno,Song ID,Song Name,Artist Name,Album Name,Release Date,Acousticness,Dancebility,Song Duration,Energy,Instrumentalness,Key,Liveliness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Popularity,Genre
9248,9248,4XexoLI5WWP2U5mmYZX0OD,Happy Hardcore Tonight,S3RL,Happy Hardcore Tonight - Single,03-11-2011,0.00696,0.44,201879,0.996,0.852,2,0.285,-1.776,0,0.0483,174.99,4,0.393,31,happy
9691,9691,3Gk09A3Zs7DWLLjSgZVgPz,Ti Sento,Scooter,20 Years of Hardcore (Remastered),11-10-2013,0.0133,0.465,234777,0.968,2.11E-05,6,0.539,-4.482,0,0.0697,142.985,4,0.43,38,happy
9670,9670,2PY8NtbrYlXlBGw6u5BdgD,The Power Of You,Technikore,The Power Of You,28-01-2022,0.0167,0.49,264000,0.863,0.0136,11,0.0801,-4.526,0,0.098,160.044,4,0.133,25,happy
9987,9987,40DbIvAb652XY6qgMCstVx,The Night,Scooter,20 Years of Hardcore (Remastered),11-10-2013,0.00965,0.495,203160,0.983,0.00819,11,0.129,-4.896,1,0.0564,143.021,4,0.645,34,happy
9477,9477,7CymnEV7bWx8eVt1CwdBeN,Army Of Hardcore,Neophyte,Army Of Hardcore,01-12-2011,0.00695,0.686,317600,0.916,0.0419,1,0.296,-3.624,1,0.129,94.984,4,0.129,40,happy
9119,9119,1WEToeRWLqfsufm2ZpMiij,Hondo,Flamman & Abraxas,Hondo,16-09-2022,0.000821,0.597,98384,0.928,0.798,3,0.308,-8.626,0,0.034,139.084,4,0.843,26,happy
9108,9108,5DmksdbpypZd709H95ES1c,Bitches,DJ Isaac,Bitches,14-06-2010,0.00188,0.644,313941,0.97,0.032,9,0.0796,-5.184,1,0.0743,74.987,4,0.777,43,happy
9948,9948,7aOuCYZoEiTAs6JNpn4F33,THE DROP - Dyro Remix,Gammer,THE DROP,17-07-2018,0.000421,0.702,187968,0.962,0.0687,2,0.087,-2.199,1,0.0588,128.046,4,0.21,18,happy
9144,9144,2imsVy3dcfibqYBdtKhCFa,Verb,Dj Gizmo,Verb,29-07-2022,0.0043,0.608,133441,0.477,0.91,10,0.225,-10.431,0,0.242,118.42,4,0.468,32,happy
9489,9489,7LZojmjJG08bwrDncOt9Li,BazeFaze - SPLT SCND INTERLUDE RMX,DJ Ruffneck,BazeFaze (SPLT SCND RMXS),07-10-2020,0.00562,0.669,76800,0.57,0.268,11,0.623,-10.288,1,0.0763,150.021,4,0.0382,17,happy
9656,9656,5V0UDuLhudyztkdBR5OU2T,Click Bait - DJ Edit,S3RL,Click Bait (DJ Edit),03-08-2016,0.0188,0.521,260503,0.932,3.33E-05,7,0.0319,-4.53,1,0.11,174.996,4,0.579,21,happy
9159,9159,6gdH6AUymhzX4uJ2KKWAKn,Sorrow,Dj Gizmo,Sorrow,30-07-2022,0.0149,0.604,96801,0.338,0.798,10,0.113,-12.582,0,0.166,145.044,4,0.388,29,happy
9667,9667,1sNuLWB8P61SooM1OgyPYJ,Impressed,DJ Isaac,Impressed,18-04-2007,0.000603,0.716,424367,0.859,0.0904,6,0.0827,-4.665,0,0.135,146.002,4,0.0683,18,happy
9240,9240,0IVWmOw2bynmu1HQIebRmM,What Iz Life (Original Mix) - Extended Mix,The Prophet,The Hardcore Archive Part 3 (1997),21-10-2022,0.000293,0.49,380387,0.976,0.564,7,0.0679,-3.578,1,0.0738,184.02,4,0.283,3,happy
9633,9633,69dUX6h2JDVuAqp4IrbfKk,Bouncing In The Ghetto - Radio Edit,Noize Suppressor,Bouncing In The Ghetto,15-12-2016,0.537,0.531,117333,0.995,0,6,0.714,-3.483,0,0.828,179.98,4,0.0902,34,happy
9605,9605,00yGMQvlAQdjbm70DhApgX,Stars - Video Mix,Charly Lownoise & Mental Theo,Charlottenburg,01-07-1995,0.107,0.469,216748,0.996,0.104,1,0.0693,-4.012,0,0.0494,165.932,4,0.707,44,happy
9284,9284,6LMHseSrwekcWZueWHt3iS,Crank Up The Dank,Gammer,Crank Up The Dank,04-03-2019,0.000445,0.522,176470,0.966,0.14,1,0.103,-3.219,0,0.263,170.014,4,0.491,26,happy
9304,9304,7AvOoQmKPMsWV4o5LO6ysO,"Well, That Was Awkward",S3RL,"Well, That Was Awkward",05-07-2017,0.00486,0.528,192404,0.907,0.0845,6,0.442,-4.734,0,0.327,175.008,4,0.344,29,happy
9796,9796,3WI33wDNORa8wIB71iIOy2,Aria,Dj Mad Dog,Sounds Of The Millennium P.1,29-10-2020,0.01,0.397,192000,0.965,0.344,7,0.118,-0.606,1,0.115,179.898,4,0.104,31,happy
9299,9299,1qcU01g82CpFHx7QUmn7xq,Burning Up,Various Artists,Rocket League x Monstercat Vol. 4,13-09-2018,0.022,0.631,195000,0.934,0.409,11,0.065,-2.912,0,0.273,160.053,4,0.316,26,happy
9169,9169,6KSJMJJm7HxUTS31dOfd8S,The Voice Of Mayhem (Official Masters Of Hardcore 2010 Anthem) [Mix Cut] - Original Mix,Various Artists,In Qontrol - Save.Exit.Planet (Mixed Version),2010,0.00968,0.273,303200,0.972,0.132,9,0.435,-3.713,0,0.385,177.314,4,0.0785,45,happy
9363,9363,2Gh44f2Is7NDpKFsVTLu4p,Dance More - Atef Remix,S3RL,Dance More (Atef Remix),13-05-2021,0.00667,0.431,165942,0.812,0.00165,2,0.92,-4.027,1,0.0689,175.031,4,0.237,28,happy
9165,9165,29f9l4ImBUkA33j8kQBy65,4:00 AM,Scooter,20 Years of Hardcore (Remastered),11-10-2013,0.000736,0.554,197496,0.868,0,0,0.327,-4.163,0,0.0949,132.009,4,0.243,51,happy
9599,9599,2UEWaNyAynhqDAi62bNia7,FCK 2020,Scooter,God Save the Rave,16-04-2021,0.00183,0.476,209798,0.985,0.0401,2,0.1,-4.451,1,0.164,74.964,4,0.124,35,happy
9283,9283,5b3dCzbz8NTH5czTR9L0ek,Bass Slut - KINN Remix,S3RL,Bass Slut (KINN Remix),25-05-2022,0.000443,0.494,185647,0.983,0.00721,1,0.545,-3.302,1,0.0822,170.027,4,0.0748,29,happy
9104,9104,4NsHzdH6cv804yQpphQ1KD,I Feel Alive,S3RL,I Feel Alive,15-06-2022,0.0107,0.507,216000,0.969,0.426,8,0.0903,-3.321,0,0.102,174.951,4,0.553,38,happy
9458,9458,6o1vtzosgXwXK0VGkEzso9,Towards The Sun - Vertex & Rayvolt Remix,Re-Style,Towards The Sun (Vertex & Rayvolt Remix),12-02-2021,0.00438,0.418,242526,0.934,0.559,6,0.113,-5.795,1,0.046,94.987,4,0.04,37,happy
9802,9802,6ATSz57ZcS85rfxxgR080y,Extreme Terror (Pain Mix),Dj Skinhead,Extreme Terror - Strychnine & Temper Tantrum Remixes,01-04-1994,0.000805,0.432,308293,0.98,0.297,6,0.0875,-5.725,0,0.155,169.976,4,0.105,32,happy
9706,9706,0UWNwonlJvYEOlc3htXE1V,Weekend,S3RL,Old Skool Masters - S3RL,2007,0.000709,0.564,363428,0.994,0.778,6,0.187,-3.794,1,0.139,174.985,4,0.344,19,happy
9530,9530,1PiiyW0jpA3vvAX6CzxFuA,Which Light Switch Is Which?,Scooter,Which Light Switch Is Which?,06-12-2019,0.032,0.517,202803,0.886,0.000266,3,0.102,-4.545,1,0.0491,149.993,4,0.291,42,happy
9090,9090,67l1rBGrnkh7642qmpWE3K,I Want You,DJ Isaac,I Want You,24-09-2019,0.0389,0.634,190400,0.895,0.264,1,0.18,-4.445,1,0.216,150.057,4,0.0935,48,happy
9377,9377,60MMucOXIrQ5beS2HwhGtt,Fs (S3rl Remix) (feat. S3rl),TMD,"Tmd Original Singles, Demos, Outtakes & Remixes 2006 - 2007",05-12-2011,0.000192,0.532,203389,0.992,0.000121,1,0.662,-5.941,1,0.0756,149.985,4,0.622,22,happy
9747,9747,6e8RcMSQAFecQJivUwIvLw,Execute,Neophyte,Execute,01-12-2011,0.0128,0.536,310868,0.996,0.984,11,0.871,-3.847,0,0.171,185.954,4,0.0896,31,happy
9269,9269,5TMYHehXLWKbn6iF3lWbIv,Forever,S3RL,Forever,11-12-2013,0.0256,0.557,250437,0.998,0.148,10,0.0896,-1.75,0,0.205,175.066,4,0.487,30,happy
9919,9919,3Q1k7d5TS948l80QhyupEM,The Realness,Dj Mad Dog,Downtempo EP II,10-02-2022,0.00395,0.547,271448,0.984,0.304,7,0.124,-2.292,0,0.104,145.002,4,0.439,29,happy
9616,9616,1oZFFYpIE8F6URSSmH6vQZ,Used & Abused - Amnesia Mix,Party Animals,Good Vibrations,06-11-1996,0.0219,0.62,319024,0.918,0.909,6,0.14,-6.241,1,0.0931,178.45,4,0.55,40,happy
9303,9303,4wqqBEv2IVoiOlclDwYMQ6,Whirlwind (feat. Krystal),S3RL,Whirlwind (feat. Krystal),01-11-2017,0.00384,0.587,185744,0.992,0.00754,9,0.349,-3.084,1,0.509,174.863,4,0.571,28,happy
9208,9208,2d8BqbuiPrQhx0lyhDGXpg,I like It Loud (DJ Mix) - Extended Mix,The Prophet,The Hardcore Archive Part 3 (1997),21-10-2022,0.000145,0.716,396252,0.972,0.0356,10,0.125,-5.634,0,0.0416,92.457,4,0.0837,2,happy
9287,9287,3St78hXJh5N8NCFI7v4QfI,You're My Angel - Technikal's Midnight Remix,Styles & Breeze,You're My Angel (Technikal's Midnight Remix),22-06-2008,8.80E-05,0.547,525753,0.962,0.787,11,0.056,-9.81,0,0.0617,145.986,4,0.546,34,happy
9056,9056,5jfuP1s5gLc0U0mKzMRFmw,Public Service Announcement,S3RL,Public Service Announcement,01-10-2014,0.0044,0.326,205019,0.907,0.0415,7,0.224,-3.377,1,0.0773,160.044,4,0.748,40,happy
9857,9857,35oyMMD6nGdteWkNnMjUYl,Doof Doof Untz Untz - Original Mix,S3RL,Doof Doof Untz Untz,19-06-2013,0.00161,0.571,344323,0.963,0.32,2,0.0822,-1.559,1,0.0968,175.039,4,0.744,16,happy
9266,9266,59KMFjiNWE8y8rKBD63JA4,Down With The E,Tweekacore,Down With The E,04-10-2018,0.00136,0.565,212060,0.949,0.566,1,0.131,-3.52,1,0.108,159.966,4,0.448,38,happy
9673,9673,2AARoavVYNYaOvOXYLUlG8,Fuck the Millennium,Scooter,20 Years of Hardcore (Remastered),11-10-2013,0.01,0.576,251426,0.999,0.223,0,0.923,-6.191,1,0.0699,144.99,4,0.156,33,happy
9267,9267,1rwrQydsOPz7CxaNCBhVc5,What Is Hardcore?,Dj Mad Dog,What Is Hardcore?,11-02-2021,0.0247,0.66,245333,0.982,0.408,7,0.0891,-2.365,1,0.468,179.984,4,0.0364,39,happy
9725,9725,5eZtRHcLlvwOkbVPEH8r8p,Laughing Loud,Dj Mad Dog,The Fragments Collection,25-10-2019,0.00564,0.385,164433,0.99,0.11,9,0.113,-1.179,1,0.331,179.985,4,0.0744,31,happy
9472,9472,0VN55mOlVabQMlL8miBsno,Friends,Dj Promo,Hope,13-12-2021,0.00449,0.498,151022,0.935,0.612,1,0.401,-8.75,1,0.0473,165.044,4,0.0331,20,happy
9382,9382,1tZL5aX8SfaCdqL5ML6O4f,Forever Young - Radio Version,Interactive,Forever Young,01-10-1994,0.00553,0.565,224666,0.959,0.0032,0,0.269,-7.653,1,0.0401,159.762,4,0.762,44,happy
9129,9129,4Owa7EbS6iS0xBGJAzLUNP,4AM,Technikore,4AM,06-12-2018,0.0121,0.581,217766,0.889,0.000217,0,0.11,-4.976,0,0.0558,165.082,4,0.183,43,happy
9067,9067,0NNHOCC22cpLt3fDF6t88l,Replay The Night (feat. Nytrix),Gammer,Replay The Night (feat. Nytrix),24-09-2021,0.000982,0.583,231700,0.991,0.00256,3,0.276,-0.311,0,0.197,149.961,4,0.249,39,happy
9615,9615,5bTUY9Q8JGpg5zfvBrxgjr,Keep On Ravin' Baby - Original Mix,S3RL,Remastered,22-09-2016,0.000329,0.521,319542,0.928,0.00153,0,0.376,-5.187,1,0.0994,174.928,4,0.175,20,happy
9863,9863,1zxjVoB2ltR90sjuZ6phvR,MTC Saga - DJ Edit,S3RL,MTC Saga (DJ Edit),31-01-2018,0.00146,0.56,244207,0.926,0.000402,0,0.0257,-2.424,1,0.344,175.079,4,0.737,18,happy
9719,9719,00HZJG1FRNi2Q7KAkZ3UOv,Nightcore This - DJ Edit,S3RL,Nightcore This (DJ Edit),09-07-2014,0.000594,0.642,289500,0.949,0.38,6,0.0793,-1.061,0,0.0978,160.04,4,0.626,19,happy
9713,9713,6IKhyHSrmwsXrYeWB6RKhd,Lifting Me Higher - Back to 97 Mix,Dougal,Lifting Me Higher (Back to 97 Mix),23-07-2012,0.000739,0.549,254250,0.978,0.000432,6,0.0283,-2.702,1,0.19,169.987,4,0.183,28,happy
9960,9960,1N7n1H8xWgxpMI6Y9X2A1z,Louder - Extended Mix,Darren Styles,Louder,08-04-2022,0.00268,0.664,226024,0.951,0.154,7,0.316,-3.196,0,0.132,155.003,4,0.422,21,happy
9868,9868,66WTBnBeDPlXFnVyAlQnLu,Reignite,Technikore,Reignite,27-05-2022,0.0316,0.559,260405,0.934,2.58E-05,2,0.196,-2.333,1,0.0831,170.039,4,0.132,21,happy
9780,9780,35AoxYRvwmz75uohbEXLXK,Bass Slut - Alex BassJunkie & Riche Remix,S3RL,Bass Slut (Alex BassJunkie & Riche Remix),16-04-2016,0.31,0.714,297092,0.994,0.0743,6,0.674,-4.221,1,0.155,174.967,4,0.672,18,happy
9063,9063,6R30BO0qA3NSIg6yzsqao8,Catchit,S3RL,Catchit,03-06-2015,0.0999,0.573,211200,0.874,0,11,0.14,-1.473,0,0.0756,175.087,4,0.531,40,happy
9567,9567,7orNHgokzZjViDDR6EYORO,Fight,Anime,Fight,15-11-2021,0.0229,0.333,203813,0.988,0,1,0.862,-3.018,1,0.435,169.989,4,0.131,32,happy
9979,9979,4KJrpET0Pe6xORXwxqLXsw,Wont Forget You - Rob IYF & Al Storm Remix - Mixed,Al Storm,"Hardcore Uproar (Mixed By Al Storm & DJ Seduction, Rob IYF, DJ Stompy, Eazyvibe & Darren Tyler)",14-10-2022,0.00026,0.475,155376,0.854,0.000143,11,0.138,-8.055,1,0.16,172.922,4,0.276,4,happy
9496,9496,4JdeAlbIrq8gEArpQH76Ax,Quit (feat. Hudson Mohawke),Gammer,Quit (feat. Hudson Mohawke),29-10-2021,0.0561,0.475,204705,0.802,3.16E-05,7,0.104,-4.926,1,0.0547,170.031,4,0.328,24,happy
9434,9434,75d0ROZttg9STTFZe5HtA1,Good to Go,Flamman & Abraxas,Enter the Dragon,16-04-2012,0.0498,0.546,210944,0.984,0.118,7,0.0748,-5.022,1,0.076,175.013,4,0.507,46,happy
9168,9168,3pdAe0c6l08B6wMYVghyCs,Feel Alive,Re-Style,Feel Alive,19-06-2020,0.0495,0.439,213332,0.997,0,5,0.129,-3.717,1,0.0468,95.019,4,0.1,49,happy
9422,9422,2RxsK9rcMjhYBFH05363M9,Not My Tempo - Furyan Remix,Dj Mad Dog,Not My Tempo (Furyan Remix),15-07-2022,0.00584,0.391,215973,0.997,0.0453,7,0.35,-0.757,1,0.451,189.959,4,0.103,37,happy
9592,9592,7obYIpzqV8oYTyGSje4jba,Power Play,Breeze,Power Play,15-04-2022,0.000641,0.742,339576,0.97,0.712,10,0.159,-5.379,0,0.0398,126.979,4,0.151,24,happy
9893,9893,7w85txzWXrFwp4EDyShgcL,I'm Lonely,Scooter,20 Years of Hardcore (Remastered),11-10-2013,0.0114,0.457,211267,0.91,0.371,8,0.243,-3.888,1,0.0372,143.083,4,0.194,32,happy
9395,9395,5z69zVhOokP8xY45zFJuQh,Oi,Scooter,Ace,05-02-2016,0.00146,0.794,190153,0.947,9.54E-06,9,0.367,-2.865,1,0.0526,130.041,4,0.0389,41,happy
9816,9816,0PqgffkD3LrwUps8uIYKzO,Always Hardcore - Extended radio mix,Bodylotion,Always Hardcore - Remixes,08-12-2011,0.0446,0.506,313190,0.948,0.0862,10,0.392,-8.397,0,0.0471,173.141,4,0.63,40,happy
9030,9030,2iOz9TpTJgR3ZBIQ0Pas2g,NGMF,Gammer,NGMF,27-08-2021,0.0181,0.75,162450,0.883,0.0643,4,0.329,-5.329,0,0.262,150.051,4,0.252,43,happy
9174,9174,7hZhzZXzs9EWGa7T2VLL0P,Parallel Universe,Tweekacore,Parallel Universe,20-02-2019,0.0119,0.524,203156,0.909,0,1,0.0485,-3.205,0,0.0549,160.033,4,0.292,40,happy
9448,9448,0tBGrYKXiB7uiWLFhZDSbv,Tell Me What You Want - DJ Edit,S3RL,Tell Me What You Want (DJ Edit),03-09-2014,0.0419,0.684,300000,0.962,0.136,11,0.672,-3.879,1,0.114,160.023,4,0.924,22,happy
9216,9216,0ojVstqoPEHYAvKyi1ZvTi,Planet Rave (feat. Renee),S3RL,Planet Rave (feat. Renee),28-02-2018,0.00764,0.565,279228,0.949,0,6,0.378,-3.228,1,0.186,175.188,4,0.775,30,happy
9358,9358,1vxZ0e3UKjCWcpGp5qBnE0,Your Love,Technikore,Your Love,23-09-2022,0.00587,0.689,195500,0.803,0.00139,1,0.105,-3.082,1,0.0794,160,4,0.734,32,happy
9864,9864,0a5gSfsYD9kk233EfPbd0m,Fugazi 2016,S3RL,Fugazi 2016,11-11-2015,0.00016,0.413,176566,0.997,0.203,0,0.311,-2.571,1,0.109,174.971,4,0.447,18,happy
9074,9074,5zgoEnmbgkhwt7SRdwSGvk,You're Shining,Darren Styles,Skydivin',16-06-2008,0.00161,0.533,202266,0.979,0.00235,8,0.191,-5.209,1,0.0446,144.018,4,0.374,49,happy
9975,9975,74fkdpJ7F4SQr2kpGggb3A,Play It Loud - 2021 Mix,Various Artists,"Full Length Cardio Workout, Vol. 6",17-06-2022,0.000186,0.631,399999,0.918,0.765,11,0.0404,-2.669,0,0.0585,149.972,4,0.458,18,happy
9405,9405,4U3Oavt5yvwIOy6lTTiBIU,Big Boys Don't Cry - Original Mix,The Prophet,The Hardcore Archive Part 2 (1995 - 1996),07-10-2022,0.00109,0.516,233370,0.964,0.518,6,0.188,-4.21,0,0.0736,181.061,4,0.195,40,happy
9711,9711,2wNEZpHKpxcVeUPUF1mzUy,BazeFaze - SPLT SCND INTERLUDE RMX 5,DJ Ruffneck,BazeFaze (SPLT SCND RMXS),07-10-2020,0.0124,0.458,70398,0.955,0.0107,9,0.676,-5.231,1,0.101,150.064,4,0.287,18,happy
9192,9192,1SRc6U9vXlbNOuiSVPTtPe,Predictable Rave Song,S3RL,Predictable Rave Song,30-09-2020,0.0128,0.489,195579,0.976,0,11,0.186,-2.298,0,0.123,175.103,4,0.698,32,happy
9438,9438,77KQ6MGqORSHTV8k4XwD8S,Raver Dimension,S3RL,Raver Dimension,24-10-2012,0.0089,0.577,245661,0.994,1.24E-05,7,0.372,-0.165,1,0.157,175.093,4,0.476,24,happy
9549,9549,4qLic9PEMneYSmWalRkFmV,Basshead,Re-Style,Basshead,18-04-2018,0.0199,0.474,170057,0.962,2.59E-05,5,0.124,-4.069,1,0.15,175.13,4,0.0889,38,happy
9501,9501,0wsXHs4VGx2BJByU0wZA5c,Operation Doomsday (feat. Sara),S3RL,Operation Doomsday (feat. Sara),21-04-2017,0.00602,0.589,191460,0.936,0,5,0.328,-5.026,1,0.175,160.084,4,0.474,22,happy
9723,9723,6AFEut1111g9n6aHvPtNW1,Drop Da Beat,Various Artists,Thunderdome Die Hard II (Digital Version),09-12-2016,0.228,0.733,315118,0.943,0.163,6,0.0653,-9.312,0,0.169,177.804,4,0.458,31,happy
9202,9202,3bOhb40pWro9luZoncrHfR,I like It Loud - DJ Mix,The Prophet,The Hardcore Archive Part 3 (1997),21-10-2022,2.63E-05,0.615,202702,0.985,0.326,7,0.11,-5.318,1,0.041,185.024,4,0.0398,7,happy
9486,9486,28BQNHqJ55F08ZeW244twd,Pretty Rave Girl - ExaMelodica Remix,S3RL,Pretty Rave Girl (ExaMelodica Remix),02-03-2022,0.00045,0.401,586666,0.981,0.346,0,0.629,-4.572,1,0.0572,180.009,4,0.148,24,happy
9789,9789,0Ic9hXrW6jjf8FlQhb1mux,Liberta,Haze,Básicos,15-01-2021,0.0911,0.774,262733,0.731,0,6,0.525,-7.181,1,0.29,166.043,4,0.977,17,happy
9703,9703,3q8zm8d5S0uHqwwA8XQgRB,Its Time 2 Roll,S3RL,Old Skool Masters - S3RL,2007,0.000303,0.441,342857,0.961,0.469,6,0.0302,-4.769,0,0.0825,174.944,4,0.288,19,happy
9580,9580,2wqK5fUOUaRTuzTcI4KKqw,Find The Spark,Tweekacore,Find The Spark,03-12-2019,0.107,0.558,233599,0.779,1.31E-06,9,0.0905,-3.81,0,0.0873,159.937,4,0.406,29,happy
9359,9359,0mEjH9rRTwy6XNCv8q1skY,Confusion,Partyraiser,Confusion,10-08-2022,0.014,0.554,194396,0.94,0.0198,6,0.343,-2.646,0,0.0979,100.039,4,0.111,43,happy
9835,9835,4lrd3jHL0DHCoswdEDgWYh,Feels Like Heaven - Original Mix,S3RL,Feels Like Heaven,10-07-2013,0.0129,0.531,333257,0.97,0.136,11,0.27,-2.211,1,0.0609,174.997,4,0.441,14,happy
9445,9445,0wz1IRE3GDFCCkgGA9v9vt,This Moment - Flamman & Abraxas Radio Mix,Party Animals,Greatest Hits & Underground Anthems,12-09-2014,0.0227,0.503,179920,0.983,0.704,6,0.0995,-3.849,1,0.047,167.773,4,0.72,50,happy
